column,source,business_meaning,event_time,observation_time,effective_time,known_at_T0,known_at_T1,known_at_T2,mutable,point_in_time_reconstructable,leakage_risk,notes
days_on_market,spots,Current/extract days on market,UNKNOWN/current-state aggregate,Extraction/current-state time UNKNOWN,UNKNOWN,BLOCKED,BLOCKED,BLOCKED,YES,NO,CRITICAL,FORBIDDEN for historical backtest. total_inquiries agrees with reconstructible inquiry count for only 212/3000 spots.
total_inquiries,spots,Current/extract inquiry counter,UNKNOWN/current-state aggregate,Extraction/current-state time UNKNOWN,UNKNOWN,BLOCKED,BLOCKED,BLOCKED,YES,NO,CRITICAL,FORBIDDEN for historical backtest. total_inquiries agrees with reconstructible inquiry count for only 212/3000 spots.
total_views,spots,Current/extract view counter,UNKNOWN/current-state aggregate,Extraction/current-state time UNKNOWN,UNKNOWN,BLOCKED,BLOCKED,BLOCKED,YES,NO,CRITICAL,FORBIDDEN for historical backtest. total_inquiries agrees with reconstructible inquiry count for only 212/3000 spots.
is_active,spots,Current/extract active status,UNKNOWN/current-state aggregate,Extraction/current-state time UNKNOWN,UNKNOWN,BLOCKED,BLOCKED,BLOCKED,YES,NO,CRITICAL,FORBIDDEN for historical backtest. total_inquiries agrees with reconstructible inquiry count for only 212/3000 spots.
created_at,spots,Entity creation timestamp,spots.created_at,spots.created_at,spots.created_at,NO_SELECTED_SPOT,YES,YES,NO,YES,LOW,Proves spot existence at score time; require created_at <= score_time.
spot_id,spot_attributes,Spot identifier,spots.created_at for entity existence,UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO,YES_UNDER_IMMUTABILITY_ASSUMPTION,LOW,1:1 key to spots. Spot existence still requires spots.created_at <= score_time.
natural_light,spot_attributes,Natural light attribute,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
luminaires,spot_attributes,Luminaire count,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
charging_ports,spot_attributes,Charging port count,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
security_type,spot_attributes,Security attribute,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
floor_level,spot_attributes,Floor level,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
elevators,spot_attributes,Elevator count,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
vertical_height_m,spot_attributes,Vertical clear height,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
parking_spaces,spot_attributes,Parking count,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
building_status,spot_attributes,Building status,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
floor_material,spot_attributes,Floor material,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
amenities,spot_attributes,Amenities JSON/listing attributes,UNKNOWN (no attribute event timestamp in raw),UNKNOWN in raw; assumed available from spots.created_at by explicit assessment contract,ASSUMED_FROM spots.created_at (contract assumption; not a raw timestamp),NO_SELECTED_SPOT,YES_IF_SPOT_CREATED_LE_SCORE_TIME,YES_IF_SPOT_CREATED_LE_SCORE_TIME,NO_ASSUMED_IMMUTABLE,YES_UNDER_IMMUTABILITY_ASSUMPTION,MEDIUM_ASSUMPTION,AUTHORIZED for historical T1/T2 under explicit user-approved immutability assumption. Raw provides no attribute timestamp; do not reinterpret this assumption as observed temporal provenance.
snapshot_id,availability_snapshot,Availability snapshot identifier,availability_snapshot.snapshot_date,Ingestion/observation timestamp UNKNOWN,availability_snapshot.snapshot_date (business-date assumption),CONDITIONAL_INVENTORY_ASOF,CONDITIONAL_BACKWARD_ASOF,CONDITIONAL_BACKWARD_ASOF,NO,CONDITIONAL,MEDIUM,Use only latest snapshot_date <= score_time. Never nearest/forward join. Observation-time proof is still absent.
spot_id,availability_snapshot,Spot identifier,availability_snapshot.snapshot_date,Ingestion/observation timestamp UNKNOWN,availability_snapshot.snapshot_date (business-date assumption),CONDITIONAL_INVENTORY_ASOF,CONDITIONAL_BACKWARD_ASOF,CONDITIONAL_BACKWARD_ASOF,NO,CONDITIONAL,MEDIUM,Use only latest snapshot_date <= score_time. Never nearest/forward join. Observation-time proof is still absent.
snapshot_date,availability_snapshot,Availability snapshot business date,availability_snapshot.snapshot_date,Ingestion/observation timestamp UNKNOWN,availability_snapshot.snapshot_date (business-date assumption),CONDITIONAL_INVENTORY_ASOF,CONDITIONAL_BACKWARD_ASOF,CONDITIONAL_BACKWARD_ASOF,NO,CONDITIONAL,MEDIUM,Use only latest snapshot_date <= score_time. Never nearest/forward join. Observation-time proof is still absent.
is_available,availability_snapshot,Availability state at snapshot,availability_snapshot.snapshot_date,Ingestion/observation timestamp UNKNOWN,availability_snapshot.snapshot_date (business-date assumption),CONDITIONAL_INVENTORY_ASOF,CONDITIONAL_BACKWARD_ASOF,CONDITIONAL_BACKWARD_ASOF,YES,CONDITIONAL,MEDIUM,Use only latest snapshot_date <= score_time. Never nearest/forward join. Observation-time proof is still absent.
days_until_available,availability_snapshot,Days until availability at snapshot,availability_snapshot.snapshot_date,Ingestion/observation timestamp UNKNOWN,availability_snapshot.snapshot_date (business-date assumption),CONDITIONAL_INVENTORY_ASOF,CONDITIONAL_BACKWARD_ASOF,CONDITIONAL_BACKWARD_ASOF,YES,CONDITIONAL,MEDIUM,Use only latest snapshot_date <= score_time. Never nearest/forward join. Observation-time proof is still absent.
competing_inquiries_30d,availability_snapshot,30-day competing inquiries aggregate,Window semantics UNKNOWN,Ingestion time UNKNOWN,UNKNOWN,BLOCKED,BLOCKED,BLOCKED,YES,NO_UNTIL_WINDOW_DIRECTION_PROVEN,HIGH,Could be trailing or retrospective/forward aggregate; do not use until semantics are confirmed.
state,market_context,Spot/market state,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,NO,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
municipality,market_context,Spot/market municipality,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,NO,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
corridor,market_context,Commercial corridor,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,NO,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
sector,market_context,Market-context sector,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,NO,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
month,market_context,Market aggregate month,"month is a period label, not event time",UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,NO,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
similar_available_spots,market_context,Similar available inventory aggregate,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,YES,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
avg_price_sqm_mxn,market_context,Average rent price per sqm,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,YES,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
recent_occupancy_rate,market_context,Recent occupancy aggregate,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,YES,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
absorption_velocity_days,market_context,Average absorption velocity,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,YES,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
recent_inquiry_volume,market_context,Recent inquiry volume aggregate,Aggregate over month/recent window,UNKNOWN,UNKNOWN,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,BLOCKED_EDA_ONLY,YES,NO,HIGH,EDA_ONLY. No publication/effective timestamp; same-month data may include future observations.
